Line,NPC,Neurons2weeks,MotorNeurons
3383,800,0,0
3383-iso,1030,1008,0
3575,155,0,0
3575-iso,1998,1221,0
3595,798,1302,0
3595-iso,1300,1546,0
3940,414,1643,0
3940N-iso,846,1238,0
2965,279,0,0
3567,920,940,0
3567-iso,1372,0,0
TD06,1432,0,0
TD07,1083,1032,0
3448,1922,0,0
TD06-iso,591,0,0
3123-iso,512,796,0
3123-isoQ65Q,862,2739,0
AIW002-02,3318,1439,0
3940R-iso,1105,0,0
3123-isoP65P,1146,1709,0
AIW001-02,1252,1712,0
TD22,1507,0,0
M1,0,0,1290
M2,0,0,1627
M3,0,0,2463
M4,0,0,1883
M5,0,0,8202
M6,0,0,1160
M7,0,0,1968
M8,0,0,1215
POOL_1NPC,876,0,0
POOL_2NPC,204,0,0
POOL_3NPC,1218,0,0
POOL_4Final,0,977,0